Var1,Colony,density_5km,density_15km,density_30km,type,season,Date___fert,Name,newChip,Sex,AGE,pupSex,pup,FA_mom,FA_pup,Weight_mom,pup_weight,preg_list,non_preg_list,min_reproductive_state,Reproductive_State,comments,BellyWidth,preg_parasites,parasites,nonpreg_parasites,temprature_IMS,,,date,BMI,preg_ratio,Reproductive_State_numeric,,min_morphology_numeric,min_morphology,morphology,group,real_year,winter_group,mom&preg
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Sep-21,,4162156,F,Adult,F,1,94,61,125,NaN,NaN,1,non pregnant,lactating,,NaN,NaN,1,1,26.5,,,16,1.510638298,0.952380952,0,,1,natural,limestone cave,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Sep-21,,4161863,F,Adult,M,1,93,58,137.5,NaN,NaN,1,non pregnant,lactating,,NaN,NaN,0,0,26.5,,,16,1.489130435,0.952380952,0,,1,natural,limestone cave,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Sep-21,,4162034,F,Adult,,0,95,NaN,122,NaN,NaN,1,non pregnant,lactating,,NaN,NaN,6,6,26.5,,,16,1.414893617,0.952380952,0,,1,natural,limestone cave,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Sep-21,,4161928,F,Adult,F,1,96,62,132,NaN,NaN,1,non pregnant,lactating,,NaN,NaN,1,1,26.5,,,16,1.191489362,0.952380952,0,,1,natural,limestone cave,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Sep-21,,4161875,F,Adult,F,1,94,63,133,NaN,NaN,1,non pregnant,lactating,,NaN,NaN,9,9,26.5,,,16,1.489361702,0.952380952,0,,1,natural,limestone cave,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Sep-21,,4162158,F,Adult,F,1,90,65,130,NaN,NaN,1,non pregnant,lactating,,NaN,NaN,7,7,26.5,,,16,1.293478261,0.952380952,0,,1,natural,limestone cave,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Sep-21,,4161939,F,Adult,M,1,94,74,131,NaN,NaN,1,non pregnant,lactating,,NaN,NaN,2,2,26.5,,,16,1.315217391,0.952380952,0,,1,natural,limestone cave,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Sep-21,,4162030,F,Adult,,0,93,NaN,133,NaN,NaN,1,non pregnant,lactating no pup,,NaN,NaN,0,0,26.5,,,16,1.458333333,0.952380952,0,,1,natural,limestone cave,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Sep-21,,4162154,F,Adult,,0,90,NaN,116,NaN,NaN,1,non pregnant,lactating no pup,,NaN,NaN,0,0,26.5,,,16,1.47311828,0.952380952,0,,1,natural,limestone cave,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Sep-21,,4161971,F,Adult,F,1,99,71,150,NaN,NaN,1,non pregnant,lactating,,NaN,NaN,0,0,26.5,,,16,1.542553191,0.952380952,0,,1,natural,limestone cave,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Sep-21,,4162182,F,Adult,M,1,96,78,141,NaN,NaN,1,non pregnant,lactating,,NaN,NaN,2,2,26.5,,,16,1.384615385,0.952380952,0,,1,natural,limestone cave,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Sep-21,,4161867,F,Adult,F,1,99,62,148.6,NaN,NaN,1,non pregnant,lactating,,NaN,NaN,3,3,26.5,,,16,1.431578947,0.952380952,0,,1,natural,limestone cave,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Sep-21,,4162092,F,Adult,F,1,97,65,131,NaN,NaN,1,non pregnant,lactating,,NaN,NaN,7,7,26.5,,,16,1.494736842,0.952380952,0,,1,natural,limestone cave,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Sep-21,,4162209,F,Adult,M,1,92,57,130,NaN,NaN,1,non pregnant,lactating,,NaN,NaN,0,0,26.5,,,16,1.416666667,0.952380952,0,,1,natural,limestone cave,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Sep-21,,4162090,F,Adult,M,1,96,69,133.6,NaN,NaN,1,non pregnant,lactating,,NaN,NaN,2,2,26.5,,,16,1.494623656,0.952380952,0,,1,natural,limestone cave,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162226,F,Adult,,0,95,NaN,144,NaN,NaN,1,non pregnant,lactating no pup,,NaN,NaN,1,1,22.8,,,9,1.595744681,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162075,F,Adult,,0,96,NaN,147,NaN,NaN,1,non pregnant,lactating no pup,,NaN,NaN,1,1,22.8,,,9,1.532608696,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162068,F,Adult,,0,95,NaN,144.2,NaN,NaN,1,non pregnant,lactating no pup,,NaN,NaN,3,3,22.8,,,9,1.576086957,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162067,F,Adult,,0,94,NaN,142.1,NaN,NaN,1,non pregnant,lactating no pup,,NaN,NaN,1,1,22.8,,,9,1.170454545,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162183,F,Adult,,0,92,NaN,135.4,NaN,NaN,1,non pregnant,reproductive non lactating,,NaN,NaN,1,1,22.8,,,9,1.585106383,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162204,F,Adult,,0,75,NaN,62,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,3,3,22.8,,,9,1.472527473,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162157,F,Adult,,0,87,NaN,101.3,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,9,9,22.8,,,9,1.64893617,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162120,F,Adult,,0,97,NaN,140.1,NaN,NaN,1,non pregnant,reproductive non lactating,,NaN,NaN,0,0,22.8,,,9,1.164705882,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162113,F,Adult,,0,90,NaN,122,NaN,NaN,1,non pregnant,lactating no pup,,NaN,NaN,0,0,22.8,,,9,1.597938144,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162147,F,Adult,,0,95,NaN,125.7,NaN,NaN,1,non pregnant,non reproductive,went to ofri,NaN,NaN,1,1,22.8,,,9,1.734042553,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162114,F,Adult,,0,97,NaN,144,NaN,NaN,1,non pregnant,non lactating reproductive,went to ofri,NaN,NaN,1,1,22.8,,,9,1.336956522,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162125,F,Adult,,0,93,NaN,128.1,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,1,1,22.8,,,9,1.385542169,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162037,F,Adult,,0,96,NaN,135.5,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,0,0,22.8,,,9,1.541666667,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162099,F,Adult,,0,94,NaN,127,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,0,0,22.8,,,9,1.483516484,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162072,F,Adult,,0,92,NaN,129.2,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,6,6,22.8,,,9,1.621052632,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162224,F,Adult,,0,91,NaN,130.8,NaN,NaN,1,non pregnant,lactating no pup,,NaN,NaN,0,0,22.8,,,9,1.52173913,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162057,F,Adult,F,1,96,76,150.8,56,NaN,1,non pregnant,lactating,,NaN,NaN,2,2,22.8,,,9,1.451612903,0.954545455,0,,0,man made,abandoned building,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162064,F,Adult,,0,94,NaN,134,NaN,NaN,1,non pregnant,lactating no pup,,NaN,NaN,3,3,22.8,,,9,1.5,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162105,F,Adult,,0,93,NaN,131,NaN,NaN,1,non pregnant,lactating no pup,,NaN,NaN,2,2,22.8,,,9,1.479591837,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162234,F,Adult,M,1,95,66,151.7,39,NaN,1,non pregnant,lactating,,NaN,NaN,6,6,22.8,,,9,1.516129032,0.954545455,0,,0,man made,abandoned building,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162169,F,Adult,,0,97,NaN,138.5,NaN,NaN,1,non pregnant,reproductive no pup,went to ofri,NaN,NaN,6,6,22.8,,,9,1.534090909,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162116,F,Adult,,0,95,NaN,131,NaN,NaN,1,non pregnant,lactating no pup,,NaN,NaN,7,7,22.8,,,9,1.468085106,0.954545455,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162233,F,Adult,,0,95,NaN,142,NaN,NaN,1,non pregnant,lactating no pup,,NaN,NaN,1,1,22.8,,,1,1.515151515,0.928571429,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162110,F,Adult,,0,96,NaN,137,NaN,NaN,1,non pregnant,lactating no pup,,NaN,NaN,0,0,22.8,,,1,1.489361702,0.928571429,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162052,F,Adult,,0,100,NaN,152.5,NaN,NaN,1,non pregnant,lactating no pup,,NaN,NaN,1,1,22.8,,,1,1.347826087,0.928571429,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162081,F,Adult,,0,100,NaN,152,NaN,NaN,1,non pregnant,reproductive no pup,went to ofri,NaN,NaN,9,9,22.8,,,1,1.352272727,0.928571429,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162066,F,Adult,,0,96,NaN,125.3,NaN,NaN,1,non pregnant,lactating no pup,,NaN,NaN,1,1,22.8,,,1,1.5,0.928571429,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162126,F,Adult,,0,95,NaN,145,NaN,NaN,1,non pregnant,lactating no pup,,NaN,NaN,6,6,22.8,,,1,1.458333333,0.928571429,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,21-Oct-21,,4162175,F,Adult,,0,95,NaN,146,NaN,NaN,1,non pregnant,reproductive no pup,went to ofri,NaN,NaN,0,0,22.8,,,1,1.477777778,0.928571429,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,26-Dec-21,,326409,F,Adult,,0,94,NaN,139,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,1,1,15.3,,,1,1.489361702,0.928571429,0,,0,man made,abandoned building,1,1,1,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,26-Dec-21,,326603,F,Adult,,0,98,NaN,146,NaN,NaN,1,non pregnant,non pregnant,,NaN,NaN,0,0,15.3,,,1,1.472527473,0.928571429,0,,0,man made,abandoned building,1,1,1,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,26-Dec-21,,326604,F,Adult,,0,96,NaN,148,NaN,NaN,1,non pregnant,reproductive,,NaN,NaN,0,0,15.3,,,1,1.395604396,0.928571429,0,,0,man made,abandoned building,1,1,1,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,26-Dec-21,,326406,F,Adult,,0,94,NaN,131,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,1,1,15.3,,,1,1.35106383,0.928571429,0,,0,man made,abandoned building,1,1,1,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,26-Dec-21,,326580,F,Adult,,0,94,NaN,141,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,1,1,15.3,,,1,1.467391304,0.928571429,0,,0,man made,abandoned building,1,1,1,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,30-Jan-22,,326502,F,Adult,,0,93,NaN,126.7,NaN,NaN,1,non pregnant,reproductive,,NaN,NaN,0,0,14,,,1,1.418367347,0.928571429,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,30-Jan-22,,326501,F,Adult,,0,93,NaN,132.6,NaN,NaN,1,non pregnant,reproductive non pregnant,,NaN,NaN,1,1,14,,,1,1.396039604,0.928571429,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,30-Jan-22,,326494,F,Adult,,0,93,NaN,134.2,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,1,1,14,,,9,1.516483516,0.444444444,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,30-Jan-22,,326498,F,Adult,,0,95,NaN,123,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,1,1,14,,,9,1.510638298,0.444444444,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,30-Jan-22,,326503,F,Adult,,0,92,NaN,120,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,0,0,14,,,9,1.445652174,0.444444444,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,27-Feb-22,,348412,F,Adult,,0,85,NaN,90.5,NaN,NaN,1,non pregnant,non reproductive,eye parasites,NaN,NaN,7,7,14.9,,,9,1.510638298,0.444444444,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,27-Feb-22,,348389,F,Adult,,0,84,NaN,92,NaN,NaN,1,non pregnant,non reproductive,eye parasites abcess on neck,NaN,NaN,2,2,14.9,,,9,1.393617021,0.444444444,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,27-Feb-22,,538458,F,Adult,,0,92,NaN,126,NaN,NaN,1,non pregnant,reproductive,,NaN,NaN,3,3,14.9,,,9,1.467391304,0.444444444,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,27-Feb-22,,348392,F,Adult,,0,90,NaN,121,NaN,NaN,1,non pregnant,reproductive non pregnant,,NaN,NaN,3,3,14.9,,,9,1.478723404,0.444444444,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,27-Feb-22,,348377,F,Adult,,0,83,NaN,84,NaN,NaN,1,non pregnant,non reproductive,white eye parasite,NaN,NaN,1,1,14.9,,,9,1.483870968,0.444444444,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538432,F,Adult,F,1,94,37,128,22,NaN,1,non pregnant,just gave birth still with placenta,,NaN,NaN,3,3,15.4,,,9,1.34375,0.444444444,0,,0,man made,bridge,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538467,F,Adult,M,1,94,40,139,24,NaN,1,non pregnant,lactating,,NaN,NaN,3,3,15.4,,,9,1.46875,0.444444444,0,,0,man made,bridge,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538321,F,Adult,,0,99,NaN,149.5,NaN,NaN,1,non pregnant,non pregnant,maybe abortion,NaN,NaN,3,3,15.4,,,9,1.462365591,0.444444444,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538445,F,Adult,,0,98,NaN,137,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,1,1,15.4,,,9,1.5,0.444444444,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538453,F,Adult,,0,98,NaN,134,NaN,NaN,1,non pregnant,lactating no pup non pregnant,,NaN,NaN,0,0,15.4,,,9,1.483516484,0.444444444,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538468,F,Adult,,0,92,NaN,127,NaN,NaN,1,non pregnant,lactating no pup non pregnant,bite marks nipple,NaN,NaN,3,3,15.4,,,9,1.423913043,0.444444444,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,4161395,F,Adult,,0,92,NaN,126,NaN,NaN,1,non pregnant,reproductive not pregnant,,NaN,NaN,2,2,15.4,,,9,1.404255319,0.444444444,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538276,F,Adult,,0,96,NaN,139,NaN,NaN,1,non pregnant,reproductive not pregnant,,NaN,NaN,0,0,15.4,,,9,1.428571429,0.444444444,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538275,F,Adult,,0,93,NaN,114,NaN,NaN,1,non pregnant,reproductive not pregnant,,NaN,NaN,1,1,15.4,,,9,1.483516484,0.444444444,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538277,F,Adult,,0,97,NaN,125,NaN,NaN,1,non pregnant,reproductive not pregnant,,NaN,NaN,0,0,15.4,,,9,1.5,0.444444444,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,4162105,F,Adult,F,1,93,32,126,23,NaN,1,non pregnant,lactating,,NaN,NaN,1,1,15.4,,,10,1.515151515,0.733333333,0,,0,man made,bridge,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538281,F,old,,0,95,NaN,111,NaN,NaN,1,non pregnant,reproductive,,NaN,NaN,1,1,15.4,,,10,1.395604396,0.733333333,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538437,F,Adult,M,1,93,38,123,19,NaN,1,non pregnant,lactating,,NaN,NaN,7,7,15.4,,,10,1.670731707,0.733333333,0,,0,man made,bridge,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538469,F,Adult,,0,85,NaN,89,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,1,1,15.4,,,10,1.413043478,0.733333333,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538448,F,Adult,,0,91,NaN,114,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,2,2,15.4,,,10,1.5625,0.733333333,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538466,F,Adult,,0,94,NaN,140,NaN,NaN,1,non pregnant,reproductive non pregnant,bite marks nipple,NaN,NaN,2,2,15.4,,,10,1.263157895,0.733333333,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538439,F,Adult,,0,94,NaN,124,NaN,NaN,1,non pregnant,reproductive non pregnant lactating,bite marks nipple,NaN,NaN,0,0,15.4,,,10,1.120481928,0.733333333,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538471,F,old,,0,86,NaN,87,NaN,NaN,1,non pregnant,non reproductive,abbcess white eye parasites,NaN,NaN,0,0,15.4,,,10,1,0.733333333,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538452,F,Adult,,0,91,NaN,127,NaN,NaN,1,non pregnant,reproductive not pregnant,,NaN,NaN,2,2,15.4,,,10,0.988505747,0.733333333,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538428,F,Adult,,0,96,NaN,135,NaN,NaN,1,non pregnant,reproductive not pregnant,,NaN,NaN,0,0,15.4,,,10,1.397727273,0.733333333,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,17-Mar-22,,538309,F,old,,0,89,NaN,96,NaN,NaN,1,non pregnant,non reproductive,abcess white eye parasites,NaN,NaN,0,0,15.4,,,10,1.022988506,0.733333333,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,348603,F,Adult,,0,95,NaN,126,NaN,NaN,1,non pregnant,post lactating,flat nipple,NaN,NaN,2,2,18.6,,,10,1.247311828,0.733333333,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538288,F,Adult,M,1,92,52,138,32.2,NaN,1,non pregnant,lactating,,NaN,NaN,2,2,18.6,,,10,1.13253012,0.733333333,0,,0,man made,bridge,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,348623,F,Adult,F,1,94,49,130,24.6,NaN,1,non pregnant,lactating,,NaN,NaN,1,1,18.6,,,10,1.136363636,0.733333333,0,,0,man made,bridge,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538578,F,Adult,,0,92,NaN,149,NaN,NaN,1,non pregnant,post lactating,flay dry nipple,NaN,NaN,2,2,18.6,,,10,1.378947368,0.733333333,0,,0,man made,bridge,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538579,F,Adult,,0,89,NaN,110,NaN,NaN,1,non pregnant,post lactating,flay dry nipple,NaN,NaN,0,0,18.6,,,1,1.35106383,0.8,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,348390,F,Adult,,0,90,NaN,123,NaN,NaN,1,non pregnant,post lactating,flay dry nipple,NaN,NaN,0,0,18.6,,,1,1.484210526,0.8,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,348616,F,Adult,,0,93,NaN,122,NaN,NaN,1,non pregnant,reproductive non pregnant,,NaN,NaN,1,1,18.6,,,1,1.411764706,0.8,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538608,F,Adult,,0,92,NaN,120,NaN,NaN,1,non pregnant,post lactating,flay dry nipple,NaN,NaN,1,1,18.6,,,1,1.516483516,0.8,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538606,F,Adult,F,1,91,56,144,29,NaN,1,non pregnant,lactating,,NaN,NaN,1,1,18.6,,,1,1.462365591,0.8,0,,0,man made,abandoned building,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538308,F,Adult,,0,94,NaN,127,NaN,NaN,1,non pregnant,post lactating,flat dry nipple,NaN,NaN,1,1,18.6,,,1,1.397727273,0.8,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538315,F,Adult,,0,94,NaN,136,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,0,0,18.6,,,1,1.38,0.8,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,348582,F,Adult,,0,96,NaN,125.4,NaN,NaN,1,non pregnant,reproductive not pregnant,,NaN,NaN,2,2,18.6,,,1,1.56043956,0.8,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,348575,F,Adult,F,1,95,36,125,19,NaN,1,non pregnant,lactating,adopting mom for pup who fell,NaN,NaN,0,0,18.6,,,1,1.36,0.8,0,,0,man made,abandoned building,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538605,F,Adult,,0,90,NaN,132.8,NaN,NaN,1,non pregnant,reproductive not pregnant,,NaN,NaN,0,0,18.6,,,1,1.489361702,0.8,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,348604,F,Adult,,0,98,NaN,117,NaN,NaN,1,non pregnant,post lactating,flat dry nipple,NaN,NaN,0,0,18.6,,,1,1.387096774,0.8,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,348588,F,Adult,,0,96,NaN,123.6,NaN,NaN,1,non pregnant,post lactating,flat dry nipple,NaN,NaN,0,0,18.6,,,1,1.326732673,0.8,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538610,F,Adult,,0,93,NaN,134,NaN,NaN,1,non pregnant,post lactating,flat dry nipple,NaN,NaN,0,0,18.6,,,1,1.370786517,0.8,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538582,F,Adult,M,1,92,55,124,30,NaN,1,non pregnant,lactating,,NaN,NaN,0,0,18.6,,,1,1.347826087,0.8,0,,0,man made,abandoned building,1,1,0,1
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538607,F,Adult,,0,90,NaN,111,NaN,NaN,1,non pregnant,non reproductive,,NaN,NaN,2,2,18.6,,,1,1.343137255,0.8,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538620,F,Adult,,0,92,NaN,125,NaN,NaN,1,non pregnant,post lactating,flat dry nipple,NaN,NaN,1,1,18.6,,,1,1.511111111,0.8,0,,0,man made,abandoned building,1,1,0,0
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538602,F,Adult,F,1,95,58,126,32,NaN,1,non pregnant,lactating,,NaN,NaN,1,1,18.6,,,1,1.297029703,0.8,0,,0,man made,abandoned building,1,1,0,1
