Var1,Colony,density_5km,density_15km,density_30km,type,season,Date___fert,Name,newChip,Sex,AGE,pupSex,pup,FA_mom,FA_pup,Weight_mom,pup_weight,preg_list,non_preg_list,min_reproductive_state,Reproductive_State,comments,BellyWidth,preg_parasites,parasites,nonpreg_parasites,temprature_IMS,,,date,BMI,preg_ratio,Reproductive_State_numeric,,min_morphology_numeric,min_morphology,morphology,group,real_year,winter_group,mom&preg
101,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,29-Mar-0023,AS-11,NaN,F,adult,M,1,98,44,140,27,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,15,,,91,1.553191489,0.863636364,0,,1,natural,chalk cave,1,1,0,1
102,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,29-Mar-0023,AS-12,NaN,F,adult,F,1,96,48,132,31,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,15,,,91,1.632653061,0.333333333,0,,1,natural,marl cave,1,1,0,1
103,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,29-Mar-0023,AS-13,NaN,F,adult,F,1,94,40,137,24,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,15,,,91,1.655913978,0.333333333,0,,1,natural,marl cave,1,1,0,1
104,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,29-Mar-0023,AS-14,NaN,F,adult,M,1,97,40,136,22,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,15,,,91,1.304347826,0.333333333,0,,1,natural,marl cave,1,1,0,1
105,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,29-Mar-0023,AS-15,NaN,F,adult,F,1,95,37,135,24,NaN,1,mom pup,mom pup,,NaN,NaN,3,3,15,,,91,1.393617021,0.333333333,0,,1,natural,marl cave,1,1,0,1
107,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,29-Mar-0023,AS-17,NaN,F,adult,M,1,93,42,133,28,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,15,,,91,1.311111111,0.333333333,0,,1,natural,marl cave,1,1,0,1
109,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,29-Mar-0023,AS-19,NaN,F,adult,M,1,92,40,118,21,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,15,,,91,1.397849462,0.333333333,0,,1,natural,marl cave,1,1,0,1
110,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-1,NaN,F,adult,F,1,94,62,139,40,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,17.7,,,91,1.369565217,0.333333333,0,,1,natural,marl cave,1,1,0,1
111,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-2,NaN,F,adult,F,1,97,58,110,28,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,17.7,,,91,1.72826087,0.333333333,0,,1,natural,marl cave,1,1,0,1
113,Center,12950.51342,5850.369695,2565.481855,city,spring,31-Mar-0023,CR-4,NaN,F,adult,F,1,100,62,126,36,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,17.7,,,91,1.276595745,0.333333333,0,,1,natural,marl cave,1,1,0,1
