Date___fert,date,Colony,type,Name,density_5km,density_15km,newChip,Sex,AGE,pup sex,pup,FA_mom,FA_pup,Weight_mom,pup_weight,preg_list,non_preg_list,min_reproductive_state,Reproductive_State,comments,BellyWidth,preg_parasites,parasites,nonpreg_parasites,mom&preg,Reproductive_State_numeric,temprature_IMS
29-Mar-23,92,Aseret,rural,AS-1,1432.309575,1242.690028,,F,adult,M,1,93,45,126,24,,1,non pregnant,mom pup,,,,1,1,1,,15
29-Mar-23,92,Aseret,rural,AS-2,1432.309575,1242.690028,,F,adult,,0,93,,155,,1,,pregnant,pregnant,,52,0,0,,1,,15
29-Mar-23,92,Aseret,rural,AS-3,1432.309575,1242.690028,,F,adult,,0,94,,128,,,1,non pregnant,non pregnant,,,,0,0,0,,15
29-Mar-23,92,Aseret,rural,AS-4,1432.309575,1242.690028,,F,adult,F,1,91,50,129,27,,1,non pregnant,mom pup,,,,3,3,1,,15
29-Mar-23,92,Aseret,rural,AS-5,1432.309575,1242.690028,,F,adult,,0,91,,162,,1,,pregnant,pregnant,,58,0,0,,1,,15
29-Mar-23,92,Aseret,rural,AS-6,1432.309575,1242.690028,,F,adult,M,1,94,42,132,23,,1,non pregnant,mom pup,,,,0,0,1,,15
29-Mar-23,92,Aseret,rural,AS-7,1432.309575,1242.690028,,F,adult,F,1,90,37,130,20,,1,non pregnant,mom pup,,,,2,2,1,,15
29-Mar-23,92,Aseret,rural,AS-8,1432.309575,1242.690028,,F,adult,,0,92,,149,,1,,pregnant,pregnant,,54,0,0,,1,,15
29-Mar-23,92,Aseret,rural,AS-9,1432.309575,1242.690028,,F,adult,,0,92,,118,,,1,non pregnant,non pregnant,blood sample,,,0,0,0,,15
29-Mar-23,92,Aseret,rural,AS-10,1432.309575,1242.690028,,F,adult,,0,88,,144,,1,,pregnant,pregnant,,53,1,1,,1,,15
29-Mar-23,92,Aseret,rural,AS-11,1432.309575,1242.690028,,F,adult,M,1,98,44,140,27,,1,non pregnant,mom pup,,,,2,2,1,,15
29-Mar-23,92,Aseret,rural,AS-12,1432.309575,1242.690028,,F,adult,F,1,96,48,132,31,,1,non pregnant,mom pup,,,,0,0,1,,15
29-Mar-23,92,Aseret,rural,AS-13,1432.309575,1242.690028,,F,adult,F,1,94,40,137,24,,1,non pregnant,mom pup,,,,2,2,1,,15
29-Mar-23,92,Aseret,rural,AS-14,1432.309575,1242.690028,,F,adult,M,1,97,40,136,22,,1,non pregnant,mom pup,,,,2,2,1,,15
29-Mar-23,92,Aseret,rural,AS-15,1432.309575,1242.690028,,F,adult,F,1,95,37,135,24,,1,non pregnant,mom pup,,,,3,3,1,,15
29-Mar-23,92,Aseret,rural,AS-16,1432.309575,1242.690028,,F,adult,,0,97,,161,,1,,pregnant,pregnant,,45,0,0,,1,,15
29-Mar-23,92,Aseret,rural,AS-17,1432.309575,1242.690028,,F,adult,M,1,93,42,133,28,,1,non pregnant,mom pup,,,,2,2,1,,15
29-Mar-23,92,Aseret,rural,AS-18,1432.309575,1242.690028,,F,adult,,0,95,,154,,1,,pregnant,pregnant,,54,2,2,,1,,15
29-Mar-23,92,Aseret,rural,AS-19,1432.309575,1242.690028,,F,adult,M,1,92,40,118,21,,1,non pregnant,mom pup,,,,2,2,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-1,551.6719246,884.9337109,,F,adult,,0,93,,155,,1,,pregnant,pregnant,,49,2,2,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-2,551.6719246,884.9337109,,F,adult,,0,92,,152,,1,,pregnant,pregnant,,50,0,0,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-3,551.6719246,884.9337109,,F,adult,,0,92,,134,,1,,pregnant,pregnant,,40,1,1,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-4,551.6719246,884.9337109,,F,adult,F,1,93,37,135,18,,1,non pregnant,mom pup,,,,1,1,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-5,551.6719246,884.9337109,,F,adult,,0,98,,170,,1,,pregnant,pregnant,,52,2,2,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-6,551.6719246,884.9337109,,F,adult,,0,94,,154,,1,,pregnant,pregnant,,58,2,2,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-7,551.6719246,884.9337109,,F,adult,,0,94,,154,,1,,pregnant,pregnant,,49,1,1,,1,,15
28-Mar-23,91,Bnei Brit,rural,BB-8,551.6719246,884.9337109,,F,adult,,0,96,,161,,1,,pregnant,pregnant,,45,2,2,,1,,15
