PCBS_NAME,Oslo_Areas,GovID,X,Y,NAME_ARB,Pop_Source,EJ,Capital,Urban_Rurl,Livelihood,pop2017,Region,District,PCODE,id,Name,type,comments,area_sqm
Qibya,B / C,"30",35.00974280940,31.97670321260,قِبْيَه,PCBS,"0","0",Rural,Employment in Israeli settlement,"6090",West Bsnk,Ramallah,"301605","10",Tinshemet,Rural,,77254248.594
Budrus,B / C,"30",34.99338998670,31.96651260190,بُدْرُس,PCBS,"0","0",Rural,Employment in Israeli settlement,"1596",West Bsnk,Ramallah,"301665","10",Tinshemet,Rural,,77254248.594
