OBJECTID,SEMEL_YISH,STAT11,YISHUV_STA,SHEM_YISHU,SHEM_YIS_1,Stat11_Uni,Stat11_Ref,Main_Funct,Main_Fun_1,Religion_y,Religion_1,Pop_Total,Male_Total,Female_Tot,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_up,Shape_Leng,Shape_Area,id,Name,type,comments,area_sqm
41,"166","1","1660001",גן יבנה,GAN YAVNE,"1",,"1",מגורים,"1",יהודי,5864.000000000000000,2940.000000000000000,2924.000000000000000,371.000000000000000,482.000000000000000,534.000000000000000,570.000000000000000,508.000000000000000,373.000000000000000,269.000000000000000,256.000000000000000,342.000000000000000,449.000000000000000,450.000000000000000,335.000000000000000,297.000000000000000,214.000000000000000,179.000000000000000,130.000000000000000,60.000000000000000,"43",8553.634787661785595,2546297.515973296947777,"9",Aseret,Rural,,77254248.594
42,"166","2","1660002",גן יבנה,GAN YAVNE,2+4,,"1",מגורים,"1",יהודי,11450.000000000000000,5732.000000000000000,5718.000000000000000,582.000000000000000,950.000000000000000,1317.000000000000000,1373.000000000000000,1043.000000000000000,683.000000000000000,413.000000000000000,491.000000000000000,784.000000000000000,1130.000000000000000,929.000000000000000,603.000000000000000,418.000000000000000,259.000000000000000,248.000000000000000,108.000000000000000,79.000000000000000,"41",7998.003346664601850,1647859.172409894876182,"9",Aseret,Rural,,77254248.594
44,"166","4","1660004",גן יבנה,GAN YAVNE,,"2","1",מגורים,"1",יהודי,,,,,,,,,,,,,,,,,,,,,,7272.902194905873330,2194013.952762591186911,"9",Aseret,Rural,,77254248.594
98,"232","1","2320001",שפיים,SHEFAYIM,"1",,"1",מגורים,"1",יהודי,1346.000000000000000,648.000000000000000,698.000000000000000,115.000000000000000,125.000000000000000,121.000000000000000,104.000000000000000,80.000000000000000,57.000000000000000,79.000000000000000,86.000000000000000,102.000000000000000,104.000000000000000,95.000000000000000,56.000000000000000,36.000000000000000,51.000000000000000,55.000000000000000,46.000000000000000,20.000000000000000,"13",6984.235627885595022,1064042.329039723379537,"5",Hertzeliya,City,,53654085.409
100,"234","1","2340001",ביצרון,BIZZARON,"1",,"1",מגורים,"1",יהודי,1248.000000000000000,639.000000000000000,609.000000000000000,86.000000000000000,124.000000000000000,118.000000000000000,105.000000000000000,88.000000000000000,56.000000000000000,44.000000000000000,68.000000000000000,89.000000000000000,92.000000000000000,89.000000000000000,61.000000000000000,50.000000000000000,57.000000000000000,48.000000000000000,27.000000000000000,24.000000000000000,"22",10986.473334717424223,3937272.803937113378197,"9",Aseret,Rural,,77254248.594
121,"247","1","2470001",רשפון,RISHPON,"1",,"1",מגורים,"1",יהודי,1483.000000000000000,761.000000000000000,723.000000000000000,117.000000000000000,158.000000000000000,132.000000000000000,104.000000000000000,97.000000000000000,43.000000000000000,79.000000000000000,100.000000000000000,113.000000000000000,120.000000000000000,102.000000000000000,76.000000000000000,49.000000000000000,48.000000000000000,55.000000000000000,38.000000000000000,35.000000000000000,"17",6340.477524929948231,1545033.654247741447762,"5",Hertzeliya,City,,53654085.409
136,"267","1","2670001",כפר שמריהו,KEFAR SHEMARYAHU,"1",,"1",מגורים,"1",יהודי,1948.000000000000000,944.000000000000000,1004.000000000000000,95.000000000000000,138.000000000000000,159.000000000000000,163.000000000000000,140.000000000000000,84.000000000000000,60.000000000000000,83.000000000000000,83.000000000000000,149.000000000000000,132.000000000000000,112.000000000000000,112.000000000000000,114.000000000000000,105.000000000000000,82.000000000000000,54.000000000000000,"81",7335.971518957340777,2728115.932431085500866,"5",Hertzeliya,City,,53654085.409
191,"334","1","3340001",קבוצת יבנה,QEVUZAT YAVNE,"1",,"1",מגורים,"1",יהודי,957.000000000000000,479.000000000000000,478.000000000000000,76.000000000000000,77.000000000000000,73.000000000000000,195.000000000000000,72.000000000000000,64.000000000000000,35.000000000000000,49.000000000000000,36.000000000000000,29.000000000000000,41.000000000000000,27.000000000000000,40.000000000000000,37.000000000000000,36.000000000000000,33.000000000000000,13.000000000000000,"25",5743.413078327752373,871908.268180761486292,"9",Aseret,Rural,,77254248.594
201,"346","1","3460001",גליל ים,GELIL YAM,"1",,"1",מגורים,"1",יהודי,542.000000000000000,264.000000000000000,278.000000000000000,59.000000000000000,59.000000000000000,41.000000000000000,25.000000000000000,17.000000000000000,24.000000000000000,45.000000000000000,42.000000000000000,58.000000000000000,32.000000000000000,22.000000000000000,14.000000000000000,19.000000000000000,21.000000000000000,25.000000000000000,12.000000000000000,10.000000000000000,"17",2460.255859559169494,304007.473410058591980,"5",Hertzeliya,City,,53654085.409
296,"456","1","4560001",שורש,SHORESH,"1",,"1",מגורים,"1",יהודי,1176.000000000000000,525.000000000000000,651.000000000000000,58.000000000000000,65.000000000000000,48.000000000000000,35.000000000000000,60.000000000000000,33.000000000000000,41.000000000000000,50.000000000000000,47.000000000000000,41.000000000000000,47.000000000000000,48.000000000000000,50.000000000000000,49.000000000000000,51.000000000000000,112.000000000000000,147.000000000000000,"194",3106.109757899901069,403064.254920714185573,"6",Bnei Brit,Country,,77254248.594
